City,Latitude,Longitude,Temperature,Humidity,cloudness,windspeed
Bow Island,49.87,-111.38,2.17,80,90,10.8
Natal,-5.81,-35.21,27,74,20,4.6
Ushuaia,-54.81,-68.31,14,84,40,3.6
Mar del Plata,-46.43,-67.52,15.17,58,28,5.56
Bloomfield,40.75,-92.42,-0.13,69,1,3.1
Cape Town,-33.93,18.42,17.75,82,20,1.5
Arraial do Cabo,-22.97,-42.02,24.48,94,75,2.1
New Norfolk,-42.78,147.06,14.19,41,75,4.6
Hermanus,-34.42,19.24,17.06,77,5,0.45
Puerto Ayora,-0.74,-90.35,26.88,58,20,6.7
Bethel,60.79,-161.76,-24.31,76,1,3.6
Norman Wells,65.28,-126.83,-28,68,75,3.1
Coquimbo,-29.95,-71.34,17,77,40,5.1
Punta Arenas,-53.16,-70.91,11.81,54,75,6.2
Abu Kamal,34.45,40.92,9.18,68,55,3.66
Sioux Lookout,50.1,-91.92,-6,79,90,1
Rikitea,-23.12,-134.97,25.05,75,71,7.5
Torbay,47.66,-52.73,0.31,91,90,3.1
Lompoc,34.64,-120.46,16.71,72,1,6.2
Albany,42.65,-73.75,2.22,93,90,3.1
Quelimane,-17.88,36.89,26.54,86,53,3.22
Mataura,-46.19,168.86,13.33,76,99,12.52
Dong Hoi,17.48,106.6,19.4,95,74,1.9
Mahebourg,-20.41,57.7,25.34,94,75,3.06
Rockhampton,-23.38,150.51,27,57,75,5.1
Proletarskiy,50.79,35.77,-1,92,75,3
Georgetown,6.8,-58.16,26.93,74,20,3.1
Iqaluit,63.75,-68.52,-30,67,40,12.3
Kholodnyy,62.72,147.95,-22.23,100,85,0.62
Bluff,-23.58,149.07,22.35,72,59,3.79
Setermoen,68.86,18.35,-4.86,100,90,9.3
Katsuura,33.93,134.5,5.37,56,75,5.1
Pevek,69.7,170.27,-20.94,64,0,1.19
Ixtapa,20.71,-105.21,25.78,41,40,3.1
Kendari,-3.99,122.52,25.55,90,98,1.52
Goma,-1.67,29.23,12.63,95,31,0.46
Kaitangata,-46.28,169.85,11.98,73,99,14.75
Angoram,-4.06,144.07,25.09,93,100,2.15
Busselton,-33.64,115.35,18.33,39,0,2.93
Mehamn,71.03,27.85,-4.71,75,100,12.15
Deputatskiy,69.3,139.9,-21.51,84,100,0.84
Cardenas,27.62,-110.24,25.89,15,5,3.6
Yulara,-25.24,130.99,17,93,90,6.2
Bambous Virieux,-20.34,57.76,25.32,94,75,6.33
Cedar City,37.68,-113.06,7.47,52,1,6.7
Umm Lajj,25.02,37.27,11.58,59,0,4.31
Tiksi,71.64,128.87,-26.66,84,85,4.77
Ponta do Sol,-20.63,-46,21.02,87,100,0.42
Ribeira Grande,38.52,-28.7,18,88,75,6.2
Port Elizabeth,39.31,-74.98,11.05,100,90,1.5
Saskylakh,71.97,114.09,-29.04,96,49,2.91
Valleyview,55.07,-117.28,-9.61,82,41,2.9
Pitimbu,-7.47,-34.81,27,74,77,3.6
Romny,50.74,33.49,-1.93,88,74,1.53
Alofi,-19.06,-169.92,29,66,6,4.6
Atuona,-9.8,-139.03,27.45,68,18,2.85
Barrow,-38.31,-60.23,20.62,76,87,5.76
Nikolskoye,59.7,30.79,0.51,74,90,9
Hilo,19.71,-155.08,21.96,65,1,2.1
Dikson,73.51,80.55,-16.22,90,100,10.92
Port Alfred,-33.59,26.89,21.11,98,88,0.45
Beringovskiy,63.05,179.32,-21.79,72,0,8.15
Saint George,39.45,22.34,2.82,56,75,0.3
Jamestown,-33.21,138.6,11.66,55,100,7.73
Lewisporte,49.25,-55.06,-2.12,86,90,4.1
Noumea,-22.28,166.46,27.8,48,7,2.1
Goure,13.98,10.27,16.67,29,37,4.47
Cascais,38.7,-9.42,10.87,76,0,2.1
Bereda,43.27,-7.54,5.4,100,20,1.5
Talnakh,69.49,88.39,-17,77,100,10
Maraba,-5.35,-49.1,27,88,40,1.71
Ostrovnoy,68.05,39.51,-5.61,91,100,8.97
Severo-Kurilsk,50.68,156.12,-7.18,80,100,2.65
Hobart,-42.88,147.33,14.46,41,75,4.6
Warrington,53.39,-2.59,5.79,93,90,3.1
Hamilton,43.26,-79.87,1.54,74,90,4.1
Astoria,46.19,-123.83,8.69,66,75,6.7
Tasiilaq,65.61,-37.64,-3,92,100,2.23
Saldanha,41.42,-6.55,2.35,87,1,1.47
Paamiut,61.99,-49.67,-4.06,81,97,6.96
Khatanga,71.98,102.47,-28.41,85,0,4.07
Itarema,-2.92,-39.92,25.63,85,81,2.09
Avarua,-21.21,-159.78,27,88,0,2.6
Floro,61.6,5.03,1.97,69,96,6.7
Fonte Boa,-2.51,-66.09,26.25,69,59,0.27
Panlaitan,12.12,119.85,25.66,79,34,2.4
Plymouth,50.37,-4.14,6.69,93,87,3.1
Solntsevo,53.34,40.13,-0.01,90,100,3.96
Sorland,67.67,12.69,0.42,60,97,6.79
Tuktoyaktuk,69.44,-133.03,-32,67,20,5.7
Fairbanks,64.84,-147.72,-32,73,20,0.99
Kodiak,39.95,-94.76,5.24,35,1,4.6
Yatou,3.63,9.81,26,94,20,0.99
Bandarbeyla,9.49,50.81,25.03,78,53,7.17
Haines Junction,60.75,-137.51,-25.3,97,99,1.63
Lincoln,53.23,-0.54,6.47,81,61,5.1
Saint-Philippe,45.36,-73.48,-1.22,86,90,4.1
Sinnamary,5.38,-52.96,26.5,80,76,6.71
Naze,5.43,7.07,23,73,99,1.03
Bam,29.11,58.36,12.41,58,68,0.6
Hambantota,6.12,81.12,24,100,14,1.5
Tra Vinh,9.93,106.35,23.69,80,68,3.18
Qaanaaq,77.48,-69.36,-40.2,56,0,2.89
Hornepayne,49.22,-84.78,-11.7,96,92,1.89
Makat,47.65,53.35,-3.92,80,15,2.69
Gizo,31.8,34.94,9.6,93,75,3.1
Khanewal,30.3,71.93,8,87,24,1.57
Kupang,-10.16,123.6,27,83,90,9.3
Butaritari,3.07,172.79,29.47,77,68,5.83
San Patricio,-26.98,-56.83,25.57,52,11,2.05
Juruti,-2.16,-56.09,27.83,68,100,1.76
Hithadhoo,-0.6,73.08,28.48,67,94,2.67
Manzhouli,49.6,117.43,-16.33,85,24,1.14
Aquiraz,-3.9,-38.39,28.39,69,20,2.6
Teya,21.05,-89.07,24.72,61,75,7.2
Mahajanga,-15.72,46.32,23,94,40,0.5
Yellowknife,62.45,-114.38,-16,84,90,4.6
Vaini,15.34,74.49,15.13,74,0,1.25
Pijino,9.33,-74.45,27.18,63,85,3.97
Ostersund,63.18,14.64,-2.43,92,10,8.2
Monrovia,6.33,-10.8,23,88,20,1.84
Richards Bay,-28.77,32.06,25.75,79,81,11.68
Pisco,-13.71,-76.2,22.12,30,94,10.8
Half Moon Bay,37.46,-122.43,13.94,76,1,5.1
Sao Filipe,14.9,-24.5,21.22,76,20,6.29
Northam,-31.65,116.67,19.06,32,0,7.2
Faanui,-16.48,-151.75,27.68,76,100,4.82
Luderitz,-26.65,15.16,17,83,0,10.35
Shingu,33.72,135.99,7.59,62,0,7.68
Victoria,5.28,115.24,26.32,83,75,1
Jalu,29.03,21.55,9.3,81,0,3.64
Verkhnevilyuysk,63.45,120.31,-27.56,98,97,1.43
Novobirilyussy,56.95,90.69,-7.87,86,100,4.71
Zhuhai,40.71,112.04,-11,72,83,3
Buala,-8.15,159.59,29.22,76,89,4.57
East London,-33.02,27.91,23.89,93,42,0.38
Waingapu,-9.65,120.26,28.51,76,100,12.87
Cabinda,-5.56,12.19,26.51,86,100,4.35
Port Hedland,-20.31,118.58,27,57,100,5.1
Isangel,-19.55,169.27,29,62,20,7.7
Lorengau,-2.02,147.27,29.38,72,95,4
Leningradskiy,69.38,178.42,-23.14,63,17,0.58
Ranfurly,53.41,-111.68,-2.03,74,75,7.49
Lalmohan,22.34,90.74,17.76,91,83,2.46
Suleja,9.18,7.18,22.13,27,80,1.35
